,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
51,CHEMBL80785,Oc1ccc(-c2cc3[nH]ccnc-3n2)cc1,1000.0,active
53,CHEMBL77416,c1ccc(-c2cc3[nH]ccnc-3n2)nc1,53000.0,inactive
54,CHEMBL77066,COc1ccc(-c2cc3[nH]ccnc-3n2)cc1,4000.0,intermediate
55,CHEMBL77002,COc1cc(OC)cc(-c2cc3[nH]ccnc-3n2)c1,100000.0,inactive
56,CHEMBL76941,C=CCc1c(-c2ccc(OC)cc2)[nH]c2nccnc12,2000.0,intermediate
57,CHEMBL306498,CCCCc1c(-c2ccc(OC)cc2)[nH]c2nccnc12,1500.0,intermediate
58,CHEMBL77540,Cc1c(-c2ccc(OS(=O)(=O)N(C)C)cc2)[nH]c2nccnc12,900.0,active
60,CHEMBL305901,c1ccc(-c2cc3[nH]ccnc-3n2)cc1,4000.0,intermediate
61,CHEMBL77469,c1ccc(Cc2c(-c3ccccc3)[nH]c3nccnc23)cc1,100000.0,inactive
62,CHEMBL76660,Clc1cc(Cl)cc(-c2cc3[nH]ccnc-3n2)c1,100000.0,inactive
63,CHEMBL77210,FC(F)(F)c1ccc(-c2cc3[nH]ccnc-3n2)cc1,100000.0,inactive
64,CHEMBL306263,Fc1ccc(-c2cc3[nH]ccnc-3n2)cc1,1000.0,active
65,CHEMBL296586,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1,850.0,active
66,CHEMBL312065,COc1cc(-c2cc3[nH]ccnc-3n2)cc(OC)c1OC,100000.0,inactive
67,CHEMBL77095,CCCc1c(-c2ccc(O)cc2)[nH]c2nccnc12,1200.0,intermediate
68,CHEMBL74015,c1csc(-c2cc3[nH]ccnc-3n2)c1,2000.0,intermediate
69,CHEMBL78264,c1ccc2c(-c3cc4[nH]ccnc-4n3)cccc2c1,80000.0,inactive
70,CHEMBL419273,COc1ccc(-c2[nH]c3nccnc3c2C)cc1OC,1000.0,active
71,CHEMBL311935,Cc1c[nH]c2cc(-c3ccccc3)nc-2n1,100000.0,inactive
72,CHEMBL77697,N#Cc1ccc(-c2cc3[nH]ccnc-3n2)cc1,13000.0,inactive
73,CHEMBL77217,CC(C)c1c(-c2ccc(Cl)cc2)[nH]c2nccnc12,13000.0,inactive
74,CHEMBL76427,Cc1c(C2(c3ccc(Cl)cc3)CC2)[nH]c2nccnc12,100000.0,inactive
75,CHEMBL306347,Clc1ccc(-c2[nH]c3nccnc3c2CC2CCCCC2)cc1,100000.0,inactive
76,CHEMBL306355,CCCCc1c(-c2ccc(Cl)cc2)[nH]c2nccnc12,100000.0,inactive
78,CHEMBL78165,Cc1c(-c2ccc(Cl)cc2)[nH]c2nccnc12,5000.0,intermediate
79,CHEMBL74133,Oc1ccc(-c2[nH]c3nccnc3c2CC2CC2)cc1,100000.0,inactive
80,CHEMBL80644,COc1cccc(-c2cc3[nH]ccnc-3n2)c1,10000.0,inactive
81,CHEMBL77458,CN(C)c1ccc(-c2cc3[nH]ccnc-3n2)cc1,100000.0,inactive
82,CHEMBL78232,Cn1c(-c2ccccc2)cc2nccnc21,7000.0,intermediate
83,CHEMBL77947,COc1ccc(-c2[nH]c3nccnc3c2CC2CCCCC2)cc1,100000.0,inactive
84,CHEMBL307943,Cc1ccc(-c2cc3[nH]ccnc-3n2)cc1,10000.0,inactive
86,CHEMBL77590,COc1ccccc1-c1cc2[nH]ccnc-2n1,23000.0,inactive
87,CHEMBL309347,COc1ccc(-c2[nH]c3nccnc3c2C(C)C)cc1,2000.0,intermediate
88,CHEMBL77641,Cc1c(-c2ccc(O)cc2)[nH]c2nccnc12,200.0,active
89,CHEMBL307392,c1ccc(-c2cc3[nH]c4ccccc4nc-3n2)cc1,100000.0,inactive
91,CHEMBL76559,c1c[nH]c2cc(-c3ccsc3)nc-2n1,1000.0,active
92,CHEMBL77211,Brc1ccc(-c2cc3[nH]ccnc-3n2)cc1,100000.0,inactive
93,CHEMBL321192,COc1ccc2c(c1)C(=O)C(c1c(O)[nH]c3ccccc13)=N2,1200.0,intermediate
94,CHEMBL111624,COc1ccc2[nH]c(O)c(C3=Nc4ccccc4C3=O)c2c1,1200.0,intermediate
95,CHEMBL326919,Cc1ccc2c(c1)C(=O)C(c1c(O)[nH]c3ccccc13)=N2,1900.0,intermediate
96,CHEMBL109622,COc1ccc2c(c1)C(=O)C(c1[nH]c3ccccc3c1O)=N2,100000.0,inactive
97,CHEMBL114396,COc1ccc2c(c1)C(=O)C(c1[nH]c3ccc(OC)cc3c1O)=N2,26000.0,inactive
98,CHEMBL599552,O=C1/C(=C2\Nc3ccccc3C2=O)Nc2ccccc21,100000.0,inactive
99,CHEMBL111433,Cc1ccc2[nH]c(O)c(C3=Nc4ccccc4C3=O)c2c1,5000.0,intermediate
100,CHEMBL321194,COc1ccc2c(c1)C(=O)C(c1c(O)[nH]c3ccc(OC)cc13)=N2,800.0,active
101,CHEMBL1276127,O=C1Nc2ccccc2/C1=C1/Nc2ccccc2C1=O,5000.0,intermediate
102,CHEMBL99779,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1Cc1ccccc1,269773.94,inactive
103,CHEMBL121543,O=C1Cc2c([nH]c3ccc(C(F)(F)F)cc23)-c2cc(CC#CO)ccc2N1,1999.86,intermediate
104,CHEMBL316485,CN1C(=O)Cc2c([nH]c3ccc(Br)cc23)-c2ccccc21,130016.96,inactive
105,CHEMBL318208,Cn1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2,399944.75,inactive
106,CHEMBL430574,O=C1Cc2c([nH]c3ccccc23)-c2ccccc2N1,10092.53,inactive
107,CHEMBL317964,Cc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3,6295.06,intermediate
108,CHEMBL120030,CC(=O)OCN1C(=O)Cc2c([nH]c3ccc(Br)cc23)-c2ccccc21,5296.63,intermediate
109,CHEMBL331722,O=C1Cc2c([nH]c3ccc(Cl)cc23)-c2cccnc2N1,41975.9,inactive
110,CHEMBL331120,CSC1=Nc2ccccc2-c2c(c3cc([N+](=O)[O-])ccc3n2C)C1,849180.48,inactive
111,CHEMBL95477,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2cccc(O)c2N1,849180.48,inactive
