,Unnamed: 0,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
189,207,CHEMBL180504,COc1cc(C[C@H](OC)C(=O)O)ccc1OCCCOc1ccc(Oc2ccccc2)cc1,active,452.50300000000016,4.9775000000000045,1.0,6.0,7.886056647693163
190,208,CHEMBL181644,CO[C@@H](Cc1ccc(OCCCOc2ccc(C(=O)c3ccccc3)cc2)c(Cl)c1)C(=O)O,active,468.9330000000001,5.061000000000005,1.0,5.0,8.301029995663981
191,209,CHEMBL181656,CO[C@@H](Cc1ccc(C#CCCOc2ccc(Oc3ccccc3)cc2)cc1)C(=O)O,active,416.473,4.941600000000005,1.0,4.0,7.886056647693163
192,210,CHEMBL182230,CO[C@@H](Cc1ccc(C#CCCCOc2ccc(Oc3ccccc3)cc2)cc1)C(=O)O,active,430.50000000000006,5.331700000000006,1.0,4.0,8.154901959985743
193,211,CHEMBL121,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,active,357.435,2.490900000000001,1.0,6.0,7.154901959985743
194,212,CHEMBL981,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,inactive,318.75600000000003,3.8130000000000033,1.0,3.0,5.0
195,213,CHEMBL182884,CO[C@@H](Cc1ccc(OCCCOc2ccc(-c3ccccc3)cc2)cc1)C(=O)O,active,406.478,4.843600000000004,1.0,4.0,7.6777807052660805
196,214,CHEMBL181954,CO[C@@H](Cc1ccc(OCCCOc2ccc(Oc3ccccc3)cc2)cc1)C(=O)O,active,422.47700000000003,4.968900000000004,1.0,5.0,7.468521082957745
197,215,CHEMBL363532,CO[C@@H](Cc1ccc(OCCCOc2ccc(C(=O)c3ccccc3)cc2)cc1)C(=O)O,active,434.48800000000006,4.407600000000003,1.0,5.0,8.301029995663981
198,216,CHEMBL360368,CCO[C@@H](Cc1ccc(OCCCOc2ccc(Oc3ccccc3)cc2)cc1)C(=O)O,active,436.5040000000001,5.359000000000005,1.0,5.0,7.356547323513812
199,217,CHEMBL190938,CCCc1cc(C(=O)CC)cc(CCC)c1O[C@H](C(=O)O)c1ccc(C(F)(F)F)cc1,active,436.47,6.407800000000005,1.0,3.0,6.6777807052660805
200,218,CHEMBL371832,CCCc1cc(C(=O)CC)cc(CCC)c1CC(C(=O)O)c1ccc(C(C)C)cc1,inactive,408.5820000000001,6.718600000000007,1.0,2.0,4.301029995663981
201,219,CHEMBL187612,CCCc1cc(C(=O)CC)cc(CCC)c1NC(C(=O)O)c1ccc(C(C)C)cc1,inactive,409.5700000000001,6.545500000000006,2.0,3.0,4.301029995663981
202,220,CHEMBL190517,CCCc1cc2c(oc(=O)n2C)c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,active,425.5250000000001,5.364600000000005,1.0,5.0,7.070581074285707
203,221,CHEMBL364378,CCCc1cc2c(oc(=O)n2CC)c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,active,439.55200000000013,5.8475000000000055,1.0,5.0,7.00436480540245
204,222,CHEMBL192636,CCCc1cc2c(oc(=O)n2CCC)c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,active,453.5790000000001,6.237600000000007,1.0,5.0,7.060480747381382
205,223,CHEMBL193082,CCCc1cc2c(oc(=O)n2C(C)C)c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,active,453.5790000000002,6.408500000000007,1.0,5.0,7.292429823902063
206,224,CHEMBL364274,CCCc1cc2c(oc(=O)n2CC2CC2)c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,active,465.59000000000015,6.237600000000007,1.0,5.0,6.920818753952375
207,225,CHEMBL192521,CCCc1cc2c(oc(=O)n2CC(F)(F)F)c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,active,493.5220000000003,6.389900000000006,1.0,5.0,6.958607314841775
209,227,CHEMBL188095,CCCc1cc2c(oc(=O)n2CC)c(CCC)c1O[C@H](C(=O)O)c1ccc(Cl)cc1,active,431.91600000000005,5.377500000000005,1.0,5.0,6.657577319177793
210,228,CHEMBL371778,CCCc1c(O[C@H](C(=O)O)c2ccc(C(C)C)cc2)c(Cl)cc2c1oc(=O)n2CC,active,431.9160000000002,5.548400000000004,1.0,5.0,6.2839966563652006
212,230,CHEMBL191149,CCCc1cc2c(=O)n(C)oc2c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,active,425.5250000000001,5.364600000000005,1.0,5.0,6.6777807052660805
213,231,CHEMBL191556,CCCc1cc2c(=O)n(C(C)C)oc2c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,active,453.5790000000002,6.408500000000007,1.0,5.0,6.795880017344075
214,232,CHEMBL190169,CCCc1cc2c(=O)n(C3CCCCC3)oc2c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,active,493.64400000000023,7.332800000000008,1.0,5.0,6.356547323513812
215,233,CHEMBL365097,CCCc1cc2c(=O)n(C(C)C)oc2c(CCC)c1O[C@H](C(=O)O)c1ccc(CC(C)C)cc1,active,467.6060000000002,6.483600000000007,1.0,5.0,6.585026652029182
220,238,CHEMBL427520,CCC(=O)c1ccc(OC(C(=O)O)c2ccccc2)cc1,inactive,284.311,3.4840000000000018,1.0,3.0,4.301029995663981
221,239,CHEMBL371112,CCC(=O)c1cc(C(C)CC)c(OC(C(=O)O)c2ccccc2)c(C(C)CC)c1,inactive,396.5270000000001,6.511000000000006,1.0,3.0,4.301029995663981
222,240,CHEMBL189950,CCC(=O)c1cc(C)c(OC(C(=O)O)c2ccccc2)c(C)c1,inactive,312.36500000000007,4.1008400000000025,1.0,3.0,4.301029995663981
223,241,CHEMBL366220,CCC(=O)c1cc(Cl)c(OC(C(=O)O)c2ccccc2)c(Cl)c1,inactive,353.201,4.790800000000003,1.0,3.0,4.301029995663981
224,242,CHEMBL189066,CCCc1cc(C(=O)CC)cc(C)c1OC(C(=O)O)c1ccc(C(C)C)cc1,active,382.50000000000006,5.868320000000006,1.0,3.0,6.585026652029182
